               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.099929,            0.025276,                   0,            0.068853,             0.16667,            0.046806,            0.010538,            0.091538,            0.014851,                   0,            0.031951,           0.0069505,           0.0069505
                  38,            0.092049,            0.026067,                   0,            0.051817,            0.083333,            0.025987,           0.0056811,            0.099469,            0.013371,                   0,            0.030121,           0.0071207,           0.0071207
                  39,            0.099163,            0.024867,                   0,            0.051817,            0.083333,            0.025987,           0.0056811,            0.099469,            0.013371,                   0,             0.02829,             0.00729,             0.00729
                  40,            0.094535,            0.023692,                   0,             0.11362,             0.19444,            0.077526,            0.015735,            0.092159,            0.013981,                   0,            0.026458,           0.0074585,           0.0074585
                  41,            0.093853,             0.02703,                   0,            0.033946,             0.30556,            0.015675,           0.0041971,             0.10937,            0.011192,                   0,            0.024626,           0.0076262,           0.0076262
                  42,             0.10341,            0.024227,                   0,            0.033946,             0.30556,            0.015675,           0.0041971,             0.10937,            0.011192,                   0,            0.022793,           0.0077931,           0.0077931
                  43,              0.1011,            0.018151,                   0,              0.1213,             0.15278,            0.061504,            0.013501,            0.098147,            0.012251,                   0,            0.020959,           0.0079593,           0.0079593
                  44,            0.098536,            0.021566,                   0,              0.1213,             0.15278,            0.061504,            0.013501,            0.098147,            0.012251,                   0,            0.019125,           0.0081246,           0.0081246
                  45,             0.10074,            0.022675,                   0,            0.059383,             0.25078,            0.036237,           0.0087662,            0.095415,            0.012321,                   0,            0.017289,           0.0082892,           0.0082892
                  46,             0.09534,            0.020031,                   0,            0.059383,             0.25078,            0.036237,           0.0087662,            0.095415,            0.012321,                   0,            0.015453,            0.008453,            0.008453
                  47,            0.094085,            0.025901,                   0,             0.13141,             0.20833,            0.075936,            0.014155,            0.096165,            0.011852,                   0,            0.013616,           0.0086159,           0.0086159
                  48,            0.096162,            0.025671,                   0,             0.13141,             0.20833,            0.075936,            0.014155,            0.096165,            0.011852,                   0,            0.011778,           0.0087781,           0.0087781
                  49,            0.097786,            0.018247,                   0,             0.12457,             0.19368,            0.091423,             0.01857,            0.087075,            0.013294,                   0,           0.0099395,           0.0089395,           0.0089395
                  50,            0.088879,            0.023951,                   0,             0.12457,             0.19368,            0.091423,             0.01857,            0.087075,            0.013294,                   0,             0.00901,             0.00901,             0.00901
